Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"First by Stein and Rapoport: 0.05: (D, D)",2.595357142857143,0.6,10.0,1.0,0.5589285714285714,0.04107142857142857,0.12964285714285714,0.27035714285714285,0.9898216862502576,0.30952380952380953,0.5924417554407823,0
1,Tit For Tat,2.54,0.7364285714285714,0.0,1.0,0.6592857142857144,0.07714285714285715,0.07464285714285714,0.18892857142857142,1.0,0,1.0,0
2,First by Grofman,2.510357142857143,0.8564285714285714,1.0,1.0,0.7103571428571429,0.14607142857142857,0.05892857142857143,0.08464285714285714,1.0,0.30445934249075973,0.3198994598419886,1.0
3,First by Shubik,2.485357142857143,0.6117857142857143,3.0,1.0,0.5671428571428572,0.044642857142857144,0.09892857142857144,0.28928571428571426,1.0,0,0.1452268190013288,0.10828694343210597
4,First by Nydegger,2.4710714285714284,0.9982142857142857,0.0,1.0,0.8221428571428572,0.17607142857142857,0.0007142857142857143,0.0010714285714285715,1.0,0.9982325191836333,0,0.75
5,"First by Tideman and Chieruzzi: (D, D)",2.459285714285714,0.5871428571428572,11.0,1.0,0.5707142857142857,0.016428571428571428,0.08357142857142856,0.3292857142857143,0.9967905413765286,0,0.3823709328692718,0
6,Grudger,2.438928571428572,0.545,5.0,1.0,0.5417857142857143,0.0032142857142857142,0.08964285714285714,0.3653571428571429,1.0,0,0,0
7,First by Davis: 10,2.412857142857143,0.5539285714285714,4.0,1.0,0.5432142857142858,0.010714285714285714,0.08428571428571428,0.3617857142857143,0.9920634920634921,0.9027777777777778,0,0
8,First by Graaskamp: 0.05,2.379642857142857,0.625,4.0,1.0,0.4653571428571429,0.15964285714285714,0.15214285714285714,0.22285714285714286,0.9412189906936852,0.8411261036261036,0.8521147445332911,0.33771798170383077
9,First by Downing,2.2625,0.3342857142857143,7.0,0.0,0.2675,0.06678571428571428,0.19857142857142857,0.46714285714285714,0.9928571428571429,0.6855709876543209,0.3370208554419081,0.4473712073042945
10,"First by Feld: 1.0, 0.5, 200",2.0264285714285717,0.3264285714285714,10.0,1.0,0.2714285714285714,0.055,0.13464285714285715,0.5389285714285714,0.8834298382949087,0,0.8196997917500374,0
11,First by Tullock,1.8982142857142856,0.36607142857142855,9.0,1.0,0.2914285714285714,0.07464285714285714,0.0975,0.5364285714285714,0.8411302074914252,0.5337865337865337,0.5748705325945892,0.13868307036789757
12,First by Joss: 0.9,1.7625,0.2985714285714286,11.0,1.0,0.24464285714285713,0.05392857142857142,0.08178571428571428,0.6196428571428572,0.8923854506021776,0,0.8679469349236442,0
13,Random: 0.5,1.6092857142857144,0.47928571428571426,4.0,0.42857142857142855,0.15142857142857144,0.32785714285714285,0.15857142857142859,0.36214285714285716,0.5353413149094347,0.49017936657195155,0.49350372571706924,0.448777436019817
14,First by Anonymous,1.592142857142857,0.5039285714285714,3.0,0.6428571428571429,0.1582142857142857,0.3457142857142857,0.15535714285714283,0.3407142857142857,0.46623217902214215,0.5005091548580095,0.5230213475677185,0.5359996080721835
